epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.9082,1.4701,2.80818,1.68743,0.37478,0.31174,0.26262,0.11806,1.97055,2.58989,2.1215,0.000415625,0.000415625,0.000415625
2,125.366,1.53889,2.1423,1.73125,0.30893,0.32828,0.26508,0.11999,1.99828,2.76451,2.11181,0.000791093,0.000791093,0.000791093
3,185.194,1.55923,2.01822,1.75475,0.38164,0.39143,0.34392,0.1588,1.96622,2.32612,2.0946,0.00112531,0.00112531,0.00112531
4,244.034,1.5121,1.84408,1.72139,0.49677,0.41654,0.42132,0.19095,1.94525,2.17228,2.07502,0.00106437,0.00106437,0.00106437
5,302.306,1.45764,1.70653,1.67583,0.48786,0.50495,0.48127,0.25147,1.846,1.95772,1.96021,0.0010025,0.0010025,0.0010025
6,360.79,1.40231,1.58463,1.61837,0.54299,0.5286,0.5187,0.27404,1.72275,1.78502,1.85837,0.000940625,0.000940625,0.000940625
7,419.861,1.36122,1.50037,1.59144,0.68139,0.55763,0.59801,0.33018,1.63274,1.59296,1.75846,0.00087875,0.00087875,0.00087875
8,478.391,1.31604,1.39833,1.55589,0.68831,0.61462,0.67803,0.38772,1.64068,1.49741,1.74443,0.000816875,0.000816875,0.000816875
9,537.935,1.2892,1.34019,1.53252,0.69142,0.6667,0.71682,0.42115,1.5777,1.3766,1.68571,0.000755,0.000755,0.000755
10,598.229,1.25639,1.29197,1.50349,0.77192,0.61173,0.70038,0.39407,1.56858,1.35317,1.67248,0.000693125,0.000693125,0.000693125
11,658.468,1.22184,1.01647,1.55088,0.78878,0.69716,0.76223,0.44201,1.54043,1.22373,1.65863,0.00063125,0.00063125,0.00063125
12,718.474,1.17619,0.93229,1.51127,0.7988,0.67808,0.76068,0.44976,1.55383,1.24556,1.66243,0.000569375,0.000569375,0.000569375
13,777.826,1.13159,0.85165,1.47005,0.83713,0.72162,0.79607,0.48881,1.47296,1.11209,1.58338,0.0005075,0.0005075,0.0005075
14,837.17,1.09683,0.79718,1.43856,0.82767,0.74559,0.8081,0.49976,1.46467,1.07835,1.58985,0.000445625,0.000445625,0.000445625
15,898.631,1.06132,0.75891,1.4102,0.87692,0.74781,0.8297,0.51663,1.45824,1.01582,1.55791,0.00038375,0.00038375,0.00038375
16,956.442,1.02664,0.71878,1.37729,0.8187,0.74116,0.81117,0.51027,1.41244,0.99525,1.52356,0.000321875,0.000321875,0.000321875
17,1015.46,0.99363,0.67632,1.34961,0.84918,0.78136,0.85097,0.56215,1.37289,0.91307,1.48762,0.00026,0.00026,0.00026
18,1073.26,0.96819,0.6403,1.32736,0.8482,0.79917,0.85723,0.55329,1.38009,0.87482,1.48699,0.000198125,0.000198125,0.000198125
19,1131.51,0.93384,0.6084,1.29773,0.88072,0.80685,0.87149,0.58064,1.34813,0.85321,1.4532,0.00013625,0.00013625,0.00013625
20,1189.14,0.91075,0.58795,1.27696,0.88327,0.81084,0.88078,0.5883,1.33314,0.83541,1.44364,7.4375e-05,7.4375e-05,7.4375e-05
